Aandowin at da Bow,Willie Hunter,81352,http://www.tobarandualchais.co.uk/en/fullrecord/81352?backURL=/en/search%3Fpage%3D1%23track_81352
Caald Nights o Winter,Willie Hunter,81349,http://www.tobarandualchais.co.uk/en/fullrecord/81349?backURL=/en/search%3Fpage%3D1%23track_81349
Come Again Ye'r Welcome,Willie Hunter,89928,http://www.tobarandualchais.co.uk/en/fullrecord/89928?backURL=/en/search%3Fpage%3D1%23track_89928
Da Aald Hill Grind,Willie Hunter,81386,http://www.tobarandualchais.co.uk/en/fullrecord/81386?backURL=/en/search%3Fpage%3D1%23track_81386
Da Forfeit o da Ship,Willie Hunter,81351,http://www.tobarandualchais.co.uk/en/fullrecord/81351?backURL=/en/search%3Fpage%3D1%23track_81351
Fram Upon Him,Willie Hunter,81353,http://www.tobarandualchais.co.uk/en/fullrecord/81353?backURL=/en/search%3Fpage%3D1%23track_81353
Garster's Dream,Willie Hunter,81354,http://www.tobarandualchais.co.uk/en/fullrecord/81354?backURL=/en/search%3Fpage%3D1%23track_81354
The Flowers of Edinburgh,Bobby Peterson,80293,http://www.tobarandualchais.co.uk/en/fullrecord/80293?backURL=/en/search%3Fpage%3D1%23track_80293
Clean Pease Strae,Bobby Peterson,36653,http://www.tobarandualchais.co.uk/en/fullrecord/36653?backURL=/en/search%3Fpage%3D1%23track_36653
Glen Grant,Bobby Peterson,36656,http://www.tobarandualchais.co.uk/en/fullrecord/36656?backURL=/en/search%3Fpage%3D1%23track_36656
Kebister Head,Bobby Peterson,80295,http://www.tobarandualchais.co.uk/en/fullrecord/80295?backURL=/en/search%3Fpage%3D1%23track_80295
MacDonald's Reel,Bobby Peterson,80294,http://www.tobarandualchais.co.uk/en/fullrecord/80294?backURL=/en/search%3Fpage%3D1%23track_80294
The Fishers Hornpipe,Bobby Peterson,36646,http://www.tobarandualchais.co.uk/en/fullrecord/36646?backURL=/en/search%3Fpage%3D1%23track_36646
The Millers Hornpipe,Bobby Peterson,36647,http://www.tobarandualchais.co.uk/en/fullrecord/36647?backURL=/en/search%3Fpage%3D1%23track_36647
Willafjord,Bobby Peterson,36644,http://www.tobarandualchais.co.uk/en/fullrecord/36644?backURL=/en/search%3Fpage%3D1%23track_36644
Auld Reel o Whalsay,John Jamieson Irvine,91259,http://www.tobarandualchais.co.uk/en/fullrecord/91259?backURL=/en/search%3Fpage%3D2%23track_91259
Da Burn o'Finnigirth,Robert Bairnson,50890,http://www.tobarandualchais.co.uk/en/fullrecord/50890?backURL=/en/search%3Fpage%3D1%23track_50890
Da Hill o'Finnigirth,Robert Bairnson,50890,http://www.tobarandualchais.co.uk/en/fullrecord/50890?backURL=/en/search%3Fpage%3D1%23track_50890
Mangaster Voe,Robert Bairnson,50888,http://www.tobarandualchais.co.uk/en/fullrecord/50888?backURL=/en/search%3Fpage%3D1%23track_50888
Oliver Jack,Robert Bairnson,50899,http://www.tobarandualchais.co.uk/en/fullrecord/50889?backURL=/en/search%3Fpage%3D1%23track_50889
The Headlands,Robert Bairnson,50888,http://www.tobarandualchais.co.uk/en/fullrecord/50888?backURL=/en/search%3Fpage%3D1%23track_50888
Willafjord,Robert Bairnson,50899,http://www.tobarandualchais.co.uk/en/fullrecord/50889?backURL=/en/search%3Fpage%3D1%23track_50889
Greigs Pipes,Andrew Poleson,96869,http://www.tobarandualchais.co.uk/en/fullrecord/96869?backURL=/en/search%3Fpage%3D1%23track_96869
Lady Mary Ramsay,Andrew Poleson,96896,http://www.tobarandualchais.co.uk/en/fullrecord/96896?backURL=/en/search%3Fpage%3D1%23track_96896
Supple Sandy,Andrew Poleson,100412,http://www.tobarandualchais.co.uk/en/fullrecord/100412?backURL=/en/search%3Fpage%3D1%23track_100412
Unknown Reel,Andrew Poleson,96861,http://www.tobarandualchais.co.uk/en/fullrecord/96861?backURL=/en/search%3Fpage%3D1%23track_96861
Up da Stroods da Sailor Goes,Andrew Poleson,100411,http://www.tobarandualchais.co.uk/en/fullrecord/100411?backURL=/en/search%3Fpage%3D1%23track_100411
